,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,W,GP,PTS,REB,AST,STL,BLK,TOV,PLUS_MINUS
497,1520,Charles Smith,LAC,15,34,119,27,21,12,6,27,-36
498,369,Charlie Ward,NYK,43,82,642,274,466,144,37,175,278
499,1497,Chauncey Billups,TOR,28,80,893,190,314,107,4,174,-449
500,685,Cherokee Parks,MIN,43,79,558,437,53,36,86,66,-26
501,1512,Chris Anstey,DAL,10,41,240,157,35,31,27,41,-116
502,713,Chris Carr,MIN,28,51,504,155,85,17,11,69,-21
503,164,Chris Childs,NYK,37,68,429,162,268,56,6,103,-13
504,1544,Chris Crawford,ATL,24,40,150,41,9,12,7,18,-51
505,201,Chris Dudley,NYK,29,51,157,275,21,13,51,44,121
506,1612,Chris Garner,TOR,7,38,53,24,45,21,4,25,-95
507,423,Chris Gatling,NJN,30,57,656,334,53,52,29,99,14
508,168,Chris Mills,NYK,42,80,776,408,133,45,30,107,194
509,356,Chris Morris,UTA,43,54,233,114,24,25,17,33,8
510,904,Chris Mullin,IND,58,82,927,249,186,95,39,117,450
511,997,Chris Robinson,SAC,4,35,162,46,39,19,4,33,-61
512,185,Chris Webber,WAS,39,71,1555,674,273,111,124,185,46
513,43,Chris Whitney,WAS,42,82,422,115,196,34,6,65,3
514,363,Christian Laettner,ATL,47,74,1020,487,190,71,73,183,172
515,456,Chuck Person,SAS,42,61,409,204,86,29,10,67,131
516,359,Chucky Brown,ATL,47,77,387,182,55,23,13,51,44
517,221,Clar. Weatherspoon,GSW,24,79,736,594,89,85,74,119,-154
518,361,Clifford Robinson,PHX,55,80,1133,410,170,92,90,140,186
519,32,Clifford Rozier,MIN,1,6,6,6,0,0,0,4,-10
520,17,Clyde Drexler,HOU,39,70,1287,346,382,126,42,189,73
521,1133,Corey Beck,CHH,37,59,191,90,98,33,7,70,3
522,916,Corie Blount,LAL,51,70,253,298,37,29,25,51,101
523,722,Corliss Williamson,SAC,25,79,1401,446,230,76,48,199,-278
524,724,Cory Alexander,DEN,29,60,488,146,209,70,11,112,-145
525,905,Dale Davis,IND,55,78,626,611,70,51,87,73,386
526,107,Dale Ellis,SEA,59,79,932,184,89,60,5,74,353
527,757,Damon Stoudamire,POR,24,71,1225,298,580,113,7,223,-251
528,105,Dan Majerle,MIA,49,72,519,268,157,68,15,65,280
529,7,Dan Schayes,ORL,35,74,406,242,44,34,33,61,-14
530,344,Dana Barros,BOS,36,80,784,153,286,83,6,107,-36
531,198,Danny Ferry,CLE,39,69,291,114,59,26,17,53,12
532,1504,Danny Fortson,DEN,11,80,816,448,76,44,30,157,-412
533,330,Danny Manning,PHX,46,70,947,392,139,71,46,100,267
534,353,Darrell Armstrong,ORL,23,48,442,159,236,58,5,112,-57
535,239,Darrick Martin,LAC,17,82,841,164,331,82,10,154,-205
536,1032,Darvin Ham,WAS,37,71,145,131,16,21,25,37,16
537,128,David Benoit,ORL,41,77,420,203,25,35,20,52,5
538,764,David Robinson,SAS,50,73,1574,775,199,64,192,202,356
539,710,David Vaughn,NJN,18,40,162,152,20,15,10,40,-114
540,133,David Wesley,CHH,50,81,1054,213,529,140,30,226,135
541,766,David Wingate,SEA,45,58,150,79,37,21,3,37,-48
542,1545,DeJuan Wheat,MIN,17,34,57,11,25,6,1,9,-3
543,1051,Dean Garrett,DEN,11,82,598,644,90,57,133,84,-761
544,244,Dee Brown,TOR,21,72,658,152,154,82,23,73,-250
545,209,Dell Curry,CHH,31,52,490,101,69,31,4,54,-2
546,23,Dennis Rodman,CHI,60,80,375,1201,230,47,18,147,339
547,192,Dennis Scott,PHX,29,81,888,247,152,53,39,104,-145
548,1507,Derek Anderson,CLE,40,66,770,187,227,86,13,128,109
549,965,Derek Fisher,LAL,61,82,474,193,333,75,5,119,279
550,1575,Derek Grimm,SAC,2,9,14,4,0,3,1,3,-11
551,157,Derek Harper,ORL,29,66,566,103,233,72,10,101,13
552,400,Derek Strong,ORL,33,58,738,427,51,31,24,74,72
