,Unnamed: 0,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG3M,TS_PCT,USG_PCT,PIE,PER,WS,AS
11842,11842,2023,1630166,Deni Avdija,1610612764,WAS,56,1471.8033333333333,508,350,141,50,27,81,50,0.5127222222222222,0.1563888888888888,0.0577777777777777,13.305741640417756,2.275662119424668,0.0
11843,11843,2023,203471,Dennis Schroder,1610612747,LAL,45,1379.2916666666667,557,118,189,32,5,71,54,0.4952499999999999,0.1665,0.063875,12.983145367358537,2.867752156699252,0.0
11844,11844,2023,1628372,Dennis Smith Jr.,1610612766,CHA,38,951.1,320,105,168,52,17,59,15,0.4984444444444444,0.1573333333333333,0.1008888888888888,12.71553424582306,0.9970408710796288,0.0
11845,11845,2023,1631220,Dereon Seabron,1610612740,NOP,5,11.6,4,1,0,0,0,0,0,0.0,0.0,0.0,5.4558523878583145,,0.0
11846,11846,2023,1627884,Derrick Jones Jr.,1610612741,CHI,46,697.6433333333333,248,121,28,22,30,20,18,0.5010714285714285,0.1181052631578947,0.0800714285714285,15.966666555971893,1.7913196435035907,0.0
11847,11847,2023,201565,Derrick Rose,1610612752,NYK,26,335.515,152,40,46,7,5,22,19,0.45375,0.1627222222222222,0.02975,12.04897212161873,0.4489637593557616,0.0
11848,11848,2023,1628401,Derrick White,1610612738,BOS,59,1636.105,694,196,229,44,54,63,106,0.6192,0.1551999999999999,0.0975999999999999,17.004531830529107,4.970455839497987,0.0
11849,11849,2023,1630217,Desmond Bane,1610612763,MEM,35,1092.61,752,171,146,35,13,77,106,0.5237,0.2496999999999999,0.0994,21.991276652357268,4.287489912759051,0.0
11850,11850,2023,1626164,Devin Booker,1610612756,PHX,33,1117.4733333333334,877,150,183,29,12,82,73,0.5715294117647058,0.2999411764705882,0.1385294117647058,24.19233816587412,5.089038082758052,0.0
11851,11851,2023,1630170,Devin Vassell,1610612759,SAS,29,906.595,563,115,104,35,12,45,82,0.5605882352941176,0.241,0.1102941176470588,19.026154473567043,2.670447265473544,0.0
11852,11852,2023,1629653,Devon Dotson,1610612764,WAS,6,53.1,3,10,8,5,0,3,1,0.0,0.0417499999999999,-0.0245,5.596462729989994,,0.0
11853,11853,2023,1628984,Devonte' Graham,1610612759,SAS,57,922.1283333333332,342,82,135,35,12,31,78,0.4940526315789474,0.1456842105263158,0.0800526315789473,13.902720400172806,2.161683895184464,0.0
11854,11854,2023,203473,Dewayne Dedmon,1610612755,PHI,30,349.825,171,109,16,7,14,19,11,0.511,0.1868181818181818,0.0882727272727272,17.493762178271414,0.857067212641604,0.0
11855,11855,2023,1628415,Dillon Brooks,1610612763,MEM,52,1584.6233333333332,767,170,134,44,10,79,94,0.4729473684210526,0.2383157894736841,0.0544210526315789,10.310005280507273,1.860215870778264,0.0
