,Unnamed: 0,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG3M,TS_PCT,USG_PCT,PIE,PER,WS,AS
3160,3160,2004,2571,Leandro Barbosa,1610612756,PHX,44,799.245,303,57,92,49,4,71,48,0.5455,0.1763461538461538,0.0974090909090909,16.043270803292888,1.713539184793692,0.0
3161,3161,2004,1924,Lee Nailon,1610612739,CLE,35,382.0416666666667,171,77,21,11,7,24,0,0.4812352941176471,0.1702857142857143,0.0718235294117647,17.37722279135475,1.0131322428382008,0.0
3162,3162,2004,283,Lindsey Hunter,1610612765,DET,11,171.61166666666668,41,11,16,8,1,9,3,0.4833999999999999,0.0999999999999999,0.1135999999999999,10.184891471798954,0.1304112442733676,0.0
3163,3163,2004,2669,Linton Johnson,1610612741,CHI,18,146.42833333333334,29,28,7,9,8,8,1,0.1161666666666666,0.0961111111111111,-0.0126666666666666,6.175106429123156,-0.177381000150987,0.0
3164,3164,2004,2437,Lonny Baxter,1610612764,WAS,46,616.3683333333333,205,151,14,15,24,32,1,0.3975789473684211,0.1658181818181818,0.1053684210526315,15.770052827160852,1.353165273228223,0.0
3165,3165,2004,2254,Loren Woods,1610612748,MIA,35,460.98,115,119,7,10,15,22,0,0.3727727272727273,0.0796875,0.0412272727272727,15.48047701754595,1.0099984388315932,0.0
3166,3166,2004,953,Lorenzen Wright,1610612763,MEM,48,1259.27,463,341,57,33,46,68,0,0.4314230769230769,0.1782222222222222,0.0880384615384615,17.80184802911132,2.874583487708932,0.0
3167,3167,2004,446,Lucious Harris,1610612751,NJN,38,684.2616666666667,202,55,53,18,1,18,17,0.3970952380952381,0.1867727272727272,0.0533333333333333,11.523857641518504,1.1215118955489891,0.0
3168,3168,2004,2557,Luke Ridnour,1610612760,SEA,48,758.165,272,72,106,39,4,63,17,0.4406923076923077,0.1841851851851851,-0.0328846153846153,15.70389480124741,1.621348112366572,0.0
3169,3169,2004,2575,Luke Walton,1610612747,LAL,41,381.91,86,57,71,17,6,20,5,0.336695652173913,0.1554615384615384,0.0558695652173913,16.355761221078485,0.8451515224185677,0.0
3170,3170,2004,2573,Maciej Lampe,1610612756,PHX,3,23.95,6,3,0,1,0,1,0,0.5,0.0231,0.0,2.600936515916116,,0.0
3171,3171,2004,2124,Malik Allen,1610612748,MIA,33,511.2033333333333,157,98,13,12,17,20,0,0.4163684210526315,0.1472380952380952,0.0057368421052631,12.518570088658734,0.7650798427972678,0.0
3172,3172,2004,990,Malik Rose,1610612759,SAS,40,668.74,280,181,42,20,15,64,0,0.4729354838709677,0.1705263157894736,0.088258064516129,18.135010312901123,1.7412649266164322,0.0
3173,3173,2004,2055,Mamadou N'diaye,1610612737,ATL,3,6.245,0,1,0,0,1,1,0,0.0,0.0376,-0.6,-11.556718132620167,,0.0
3174,3174,2004,1938,Manu Ginobili,1610612759,SAS,48,1500.5933333333332,610,232,195,88,16,90,52,0.5276060606060606,0.2022121212121212,0.1352727272727273,22.17919594356644,5.469527226131637,0.0
3175,3175,2004,1531,Marc Jackson,1610612755,PHI,19,559.1283333333333,195,119,18,12,6,23,0,0.5014000000000001,0.1528333333333333,0.0986,17.076961364781365,1.6490261167354572,0.0
3176,3176,2004,2556,Marcus Banks,1610612738,BOS,53,895.0916666666667,288,95,118,49,10,86,20,0.45878125,0.2108787878787878,0.08509375,11.70567184432904,0.7483926623540057,0.0
3177,3177,2004,948,Marcus Camby,1610612743,DEN,48,1357.1666666666667,382,484,76,61,120,69,0,0.4204838709677419,0.128,0.1036774193548387,21.620465031410248,2.972280308758436,0.0
3178,3178,2004,2033,Marcus Fizer,1610612741,CHI,31,431.4933333333333,197,107,28,7,4,33,0,0.4436190476190476,0.2015185185185185,0.0945238095238095,12.563819744632962,0.4582797172722098,0.0
3179,3179,2004,2409,Marcus Haislip,1610612749,MIL,21,180.15166666666667,54,37,4,5,7,6,0,0.4496363636363636,0.0906666666666666,0.0382727272727272,14.390980396910363,0.3854947089222685,0.0
3180,3180,2004,1548,Mark Blount,1610612738,BOS,54,1461.4633333333334,465,302,52,45,68,86,0,0.6388787878787878,0.1511212121212121,0.0723939393939394,17.927951073302694,3.792083173301509,0.0
3181,3181,2004,349,Mark Jackson,1610612745,HOU,12,175.47833333333332,18,15,42,3,0,11,0,0.2572727272727272,0.109090909090909,0.0511818181818181,7.825383914123454,0.0586615441822101,0.0
3182,3182,2004,2058,Mark Madsen,1610612750,MIN,42,765.4966666666667,156,155,18,25,14,25,0,0.3315714285714286,0.07104,0.0047142857142857,11.962595498472371,1.527889372416548,0.0
3183,3183,2004,998,Mark Pope,1610612743,DEN,3,8.398333333333333,0,2,0,0,0,2,0,0.0,0.125,-2.0,-27.764911030628355,,0.0
3184,3184,2004,2060,Marko Jaric,1610612746,LAC,47,1431.5783333333334,426,150,220,82,14,94,42,0.3977142857142857,0.1616363636363636,0.0673809523809523,16.82594192697982,3.5419243792011645,0.0
3185,3185,2004,2605,Marquis Daniels,1610612742,DAL,28,264.99666666666667,118,29,22,14,3,7,2,0.3827058823529412,0.0952068965517241,0.1545294117647059,23.129281918892342,1.1803296408268311,0.0
3186,3186,2004,2440,Matt Barnes,1610612746,LAC,14,250.905,54,54,20,10,2,15,2,0.296625,0.051375,0.084625,11.929890866863005,0.3724207753820057,0.0
3187,3187,2004,2679,Matt Carroll,1610612759,SAS,13,44.78333333333333,13,3,1,0,0,2,1,0.279,0.0428947368421052,0.0825,8.128898914141358,0.0730228989869158,0.0
3188,3188,2004,1723,Matt Harpring,1610612762,UTA,31,1130.855,502,247,63,22,2,65,8,0.5267058823529412,0.1082,0.1124705882352941,20.38148861429551,4.322305381223599,0.0
3189,3189,2004,2466,Maurice Carter,1610612740,NOH,4,50.215,22,3,2,0,0,6,1,0.5875,0.2365,0.0655,9.186831263097927,0.1021615483178006,0.0
3190,3190,2004,1508,Maurice Taylor,1610612745,HOU,46,1289.51,547,257,60,28,32,88,0,0.504551724137931,0.2462068965517241,0.1006896551724138,18.56607089162216,3.501854911876842,0.0
3191,3191,2004,2246,Mehmet Okur,1610612765,DET,50,1187.3166666666666,503,329,48,24,48,75,10,0.4886451612903226,0.1873333333333333,0.1107096774193548,23.175812035975515,4.379163171473202,0.0
3192,3192,2004,2408,Melvin Ely,1610612746,LAC,24,331.82,98,70,12,5,10,15,0,0.288,0.10025,0.1007777777777777,12.490665695280894,0.5835218362829009,0.0
3193,3193,2004,2370,Mengke Bateer,1610612761,TOR,7,39.11,8,8,1,1,0,2,0,0.25,0.0125714285714285,0.0235,9.348244390518584,,0.0
3194,3194,2004,1897,Metta World Peace,1610612754,IND,51,1942.24,923,271,200,105,39,136,55,0.4948928571428571,0.2441071428571428,0.1017857142857142,22.869587819019618,7.316439843827333,0.0
3195,3195,2004,688,Michael Curry,1610612761,TOR,41,717.5316666666666,110,52,37,11,2,34,2,0.4532307692307692,0.1032692307692307,0.0105,3.2692905936891465,0.0268440752867621,0.0
3196,3196,2004,1720,Michael Doleac,1610612743,DEN,46,684.8983333333333,231,189,30,17,30,37,0,0.4522272727272727,0.15836,0.0789090909090909,16.775479924106516,1.4513588561609243,0.0
3197,3197,2004,714,Michael Finley,1610612742,DAL,47,1881.885,890,235,135,54,24,54,98,0.5190400000000001,0.1777241379310344,0.10176,21.51010811738888,7.931687517228131,0.0
3198,3198,2004,1709,Michael Olowokandi,1610612750,MIN,15,316.34,96,55,6,5,24,24,0,0.3822,0.2006363636363636,-0.0107,10.06352364879708,0.0713333787758787,0.0
3200,3200,2004,1913,Michael Ruffin,1610612762,UTA,18,426.235,51,122,22,13,15,28,0,0.3327333333333333,0.0992222222222222,0.0562666666666666,8.003606681639255,-0.2085232458639318,0.0
3201,3201,2004,1565,Michael Stewart,1610612738,BOS,15,116.00833333333334,10,22,0,1,8,3,0,0.0567999999999999,0.00556,-0.0685,3.9674314198141087,0.0699989027364353,0.0
3202,3202,2004,2552,Michael Sweetney,1610612752,NYK,15,84.795,27,16,2,3,0,8,0,0.4494615384615384,0.129,0.0657692307692307,3.429355616252493,-0.141162735865766,0.0
3203,3203,2004,2554,Mickael Pietrus,1610612744,GSW,26,186.8683333333333,63,29,10,8,3,10,13,0.2808,0.0615384615384615,-0.031,14.273605955788897,0.4712423286909974,0.0
3204,3204,2004,1710,Mike Bibby,1610612758,SAC,50,1722.8333333333333,886,163,274,55,13,97,97,0.548125,0.224625,0.115625,24.778840901525776,9.528365698109576,0.0
3205,3205,2004,2399,Mike Dunleavy,1610612744,GSW,47,1459.8766666666668,570,298,128,40,8,78,67,0.5382608695652175,0.1279655172413793,0.1119565217391304,19.690761828085417,4.955337419603066,0.0
3206,3206,2004,2229,Mike James,1610612765,DET,54,1656.8,580,173,241,70,2,83,86,0.56134375,0.16146875,0.1059375,19.311433582315804,5.963036945233187,0.0
3207,3207,2004,2034,Mike Miller,1610612763,MEM,50,1383.5483333333334,583,162,193,48,12,84,63,0.4697083333333333,0.1952692307692307,0.0747083333333333,19.351490292020603,4.8478566930274924,0.0
3208,3208,2004,2366,Mike Wilks,1610612745,HOU,18,94.385,23,7,12,2,0,6,3,0.2355454545454545,0.0444285714285714,-0.0284545454545454,12.0277673748554,0.2251820689657647,0.0
3209,3209,2004,1630,Mikki Moore,1610612762,UTA,12,115.865,31,25,5,2,4,4,0,0.2905,0.1722222222222222,-0.29,12.029413858960886,0.2755552686711788,0.0
3210,3210,2004,1960,Milt Palacio,1610612761,TOR,38,769.74,178,63,117,29,2,61,3,0.4104347826086956,0.1522692307692307,0.0769565217391304,9.559695455346256,0.1575021252051213,0.0
3211,3211,2004,348,Mitchell Butler,1610612764,WAS,16,138.505,40,18,4,7,3,7,1,0.2779090909090909,0.0715294117647058,0.0397272727272727,14.800600391698566,0.3028253059251202,0.0
3212,3212,2004,2590,Mo Williams,1610612762,UTA,31,446.3183333333333,154,43,46,18,1,29,3,0.42792,0.1607714285714285,0.02916,10.760440504853248,0.5498900796687773,0.0
3213,3213,2004,983,Moochie Norris,1610612752,NYK,46,574.6983333333334,137,44,80,29,2,46,15,0.4582173913043478,0.1553214285714285,-0.0192608695652173,10.390191684140447,0.3149309653285524,0.0
